sent=3440, configured_rate=20.0/sec
sent=3460, configured_rate=20.0/sec
sent=3480, configured_rate=20.0/sec
sent=3500, configured_rate=20.0/sec
sent=3520, configured_rate=20.0/sec
sent=3540, configured_rate=20.0/sec
sent=3560, configured_rate=20.0/sec
sent=3580, configured_rate=20.0/sec
sent=3600, configured_rate=20.0/sec
sent=3620, configured_rate=20.0/sec
sent=3640, configured_rate=20.0/sec
sent=3660, configured_rate=20.0/sec
sent=3680, configured_rate=20.0/sec
sent=3700, configured_rate=20.0/sec
sent=3720, configured_rate=20.0/sec
sent=3740, configured_rate=20.0/sec
sent=3760, configured_rate=20.0/sec
sent=3780, configured_rate=20.0/sec
sent=3800, configured_rate=20.0/sec
sent=3820, configured_rate=20.0/sec
sent=3840, configured_rate=20.0/sec
sent=3860, configured_rate=20.0/sec
sent=3880, configured_rate=20.0/sec
sent=3900, configured_rate=20.0/sec
sent=3920, configured_rate=20.0/sec
sent=3940, configured_rate=20.0/sec
sent=3960, configured_rate=20.0/sec
sent=3980, configured_rate=20.0/sec
sent=4000, configured_rate=20.0/sec
sent=4020, configured_rate=20.0/sec
sent=4040, configured_rate=20.0/sec
sent=4060, configured_rate=20.0/sec
sent=4080, configured_rate=20.0/sec
sent=4100, configured_rate=20.0/sec
sent=4120, configured_rate=20.0/sec
sent=4140, configured_rate=20.0/sec
sent=4160, configured_rate=20.0/sec
sent=4180, configured_rate=20.0/sec
sent=4200, configured_rate=20.0/sec
sent=4220, configured_rate=20.0/sec
sent=4240, configured_rate=20.0/sec
sent=4260, configured_rate=20.0/sec
sent=4280, configured_rate=20.0/sec
sent=4300, configured_rate=20.0/sec
sent=4320, configured_rate=20.0/sec
sent=4340, configured_rate=20.0/sec
sent=4360, configured_rate=20.0/sec
sent=4380, configured_rate=20.0/sec
sent=4400, configured_rate=20.0/sec
sent=4420, configured_rate=20.0/sec
sent=4440, configured_rate=20.0/sec
sent=4460, configured_rate=20.0/sec
sent=4480, configured_rate=20.0/sec
sent=4500, configured_rate=20.0/sec
sent=4520, configured_rate=20.0/sec
sent=4540, configured_rate=20.0/sec
sent=4560, configured_rate=20.0/sec
sent=4580, configured_rate=20.0/sec
sent=4600, configured_rate=20.0/sec
sent=4620, configured_rate=20.0/sec
sent=4640, configured_rate=20.0/sec
sent=4660, configured_rate=20.0/sec
sent=4680, configured_rate=20.0/sec
sent=4700, configured_rate=20.0/sec
sent=4720, configured_rate=20.0/sec
sent=4740, configured_rate=20.0/sec
sent=4760, configured_rate=20.0/sec
sent=4780, configured_rate=20.0/sec
sent=4800, configured_rate=20.0/sec
sent=4820, configured_rate=20.0/sec
sent=4840, configured_rate=20.0/sec
sent=4860, configured_rate=20.0/sec
sent=4880, configured_rate=20.0/sec
sent=4900, configured_rate=20.0/sec
sent=4920, configured_rate=20.0/sec
sent=4940, configured_rate=20.0/sec
sent=4960, configured_rate=20.0/sec
sent=4980, configured_rate=20.0/sec
sent=5000, configured_rate=20.0/sec
sent=5020, configured_rate=20.0/sec
sent=5040, configured_rate=20.0/sec
sent=5060, configured_rate=20.0/sec
sent=5080, configured_rate=20.0/sec
sent=5100, configured_rate=20.0/sec
sent=5120, configured_rate=20.0/sec
sent=5140, configured_rate=20.0/sec
sent=5160, configured_rate=20.0/sec
sent=5180, configured_rate=20.0/sec
sent=5200, configured_rate=20.0/sec
sent=5220, configured_rate=20.0/sec
sent=5240, configured_rate=20.0/sec
sent=5260, configured_rate=20.0/sec
sent=5280, configured_rate=20.0/sec
sent=5300, configured_rate=20.0/sec
sent=5320, configured_rate=20.0/sec
sent=5340, configured_rate=20.0/sec
sent=5360, configured_rate=20.0/sec
sent=5380, configured_rate=20.0/sec
sent=5400, configured_rate=20.0/sec
sent=5420, configured_rate=20.0/sec
sent=5440, configured_rate=20.0/sec
sent=5460, configured_rate=20.0/sec
sent=5480, configured_rate=20.0/sec
sent=5500, configured_rate=20.0/sec
sent=5520, configured_rate=20.0/sec
sent=5540, configured_rate=20.0/sec
sent=5560, configured_rate=20.0/sec
sent=5580, configured_rate=20.0/sec
sent=5600, configured_rate=20.0/sec
sent=5620, configured_rate=20.0/sec
sent=5640, configured_rate=20.0/sec
sent=5660, configured_rate=20.0/sec
sent=5680, configured_rate=20.0/sec
sent=5700, configured_rate=20.0/sec
sent=5720, configured_rate=20.0/sec
sent=5740, configured_rate=20.0/sec
sent=5760, configured_rate=20.0/sec
sent=5780, configured_rate=20.0/sec
sent=5800, configured_rate=20.0/sec
sent=5820, configured_rate=20.0/sec
sent=5840, configured_rate=20.0/sec
sent=5860, configured_rate=20.0/sec
sent=5880, configured_rate=20.0/sec
sent=5900, configured_rate=20.0/sec
sent=5920, configured_rate=20.0/sec
sent=5940, configured_rate=20.0/sec
sent=5960, configured_rate=20.0/sec
sent=5980, configured_rate=20.0/sec
sent=6000, configured_rate=20.0/sec
sent=6020, configured_rate=20.0/sec
sent=6040, configured_rate=20.0/sec
sent=6060, configured_rate=20.0/sec
sent=6080, configured_rate=20.0/sec
sent=6100, configured_rate=20.0/sec
sent=6120, configured_rate=20.0/sec
sent=6140, configured_rate=20.0/sec
sent=6160, configured_rate=20.0/sec
sent=6180, configured_rate=20.0/sec
sent=6200, configured_rate=20.0/sec
sent=6220, configured_rate=20.0/sec
sent=6240, configured_rate=20.0/sec
sent=6260, configured_rate=20.0/sec
sent=6280, configured_rate=20.0/sec
sent=6300, configured_rate=20.0/sec
sent=6320, configured_rate=20.0/sec
sent=6340, configured_rate=20.0/sec
sent=6360, configured_rate=20.0/sec
sent=6380, configured_rate=20.0/sec
sent=6400, configured_rate=20.0/sec
sent=6420, configured_rate=20.0/sec
sent=6440, configured_rate=20.0/sec
sent=6460, configured_rate=20.0/sec
sent=6480, configured_rate=20.0/sec
sent=6500, configured_rate=20.0/sec
sent=6520, configured_rate=20.0/sec
sent=6540, configured_rate=20.0/sec
sent=6560, configured_rate=20.0/sec
sent=6580, configured_rate=20.0/sec
sent=6600, configured_rate=20.0/sec
sent=6620, configured_rate=20.0/sec
sent=6640, configured_rate=20.0/sec
sent=6660, configured_rate=20.0/sec
sent=6680, configured_rate=20.0/sec
sent=6700, configured_rate=20.0/sec
sent=6720, configured_rate=20.0/sec
sent=6740, configured_rate=20.0/sec
sent=6760, configured_rate=20.0/sec
sent=6780, configured_rate=20.0/sec
sent=6800, configured_rate=20.0/sec
sent=6820, configured_rate=20.0/sec
sent=6840, configured_rate=20.0/sec
sent=6860, configured_rate=20.0/sec
sent=6880, configured_rate=20.0/sec
sent=6900, configured_rate=20.0/sec
sent=6920, configured_rate=20.0/sec
sent=6940, configured_rate=20.0/sec
sent=6960, configured_rate=20.0/sec
sent=6980, configured_rate=20.0/sec
sent=7000, configured_rate=20.0/sec
sent=7020, configured_rate=20.0/sec
sent=7040, configured_rate=20.0/sec
sent=7060, configured_rate=20.0/sec
sent=7080, configured_rate=20.0/sec
sent=7100, configured_rate=20.0/sec
sent=7120, configured_rate=20.0/sec
sent=7140, configured_rate=20.0/sec
sent=7160, configured_rate=20.0/sec
sent=7180, configured_rate=20.0/sec
sent=7200, configured_rate=20.0/sec
sent=7220, configured_rate=20.0/sec
sent=7240, configured_rate=20.0/sec
sent=7260, configured_rate=20.0/sec
sent=7280, configured_rate=20.0/sec
sent=7300, configured_rate=20.0/sec
sent=7320, configured_rate=20.0/sec
sent=7340, configured_rate=20.0/sec
sent=7360, configured_rate=20.0/sec
sent=7380, configured_rate=20.0/sec
sent=7400, configured_rate=20.0/sec
sent=7420, configured_rate=20.0/sec
sent=7440, configured_rate=20.0/sec
sent=7460, configured_rate=20.0/sec
sent=7480, configured_rate=20.0/sec
sent=7500, configured_rate=20.0/sec
sent=7520, configured_rate=20.0/sec
sent=7540, configured_rate=20.0/sec
sent=7560, configured_rate=20.0/sec
sent=7580, configured_rate=20.0/sec
sent=7600, configured_rate=20.0/sec
sent=7620, configured_rate=20.0/sec
sent=7640, configured_rate=20.0/sec
sent=7660, configured_rate=20.0/sec
sent=7680, configured_rate=20.0/sec
sent=7700, configured_rate=20.0/sec
sent=7720, configured_rate=20.0/sec
sent=7740, configured_rate=20.0/sec
